Sun Apr 13 23:18:26 EDT 2014	XBeeInterface: Connection started, WE BUILT THIS CITY!
Sun Apr 13 23:18:43 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:43 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:43 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:43 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:44 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:44 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:44 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:45 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:45 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:45 EDT 2014	FireScout: Test 1 started
Sun Apr 13 23:18:45 EDT 2014	FireScout: takeoff started
Sun Apr 13 23:18:45 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:46 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:46 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:46 EDT 2014	PilotIn: mo0,ar0,
Sun Apr 13 23:18:47 EDT 2014	PilotOut: s02 a0001 t0135 
Sun Apr 13 23:18:47 EDT 2014	PilotOut: s01 t0140 
Sun Apr 13 23:18:47 EDT 2014	PilotOut: s01 t0145 
Sun Apr 13 23:18:47 EDT 2014	PilotOut: s01 t0150 
Sun Apr 13 23:18:48 EDT 2014	PilotOut: s01 t0155 
Sun Apr 13 23:18:48 EDT 2014	PilotOut: s01 t0160 
Sun Apr 13 23:18:48 EDT 2014	PilotOut: s01 t0165 
Sun Apr 13 23:18:49 EDT 2014	PilotOut: s01 t0170 
Sun Apr 13 23:18:49 EDT 2014	PilotOut: s01 t0175 
Sun Apr 13 23:18:49 EDT 2014	PilotOut: s01 t0180 
Sun Apr 13 23:18:50 EDT 2014	PilotOut: s01 t0185 
Sun Apr 13 23:18:50 EDT 2014	PilotOut: s01 t0190 
Sun Apr 13 23:18:50 EDT 2014	PilotOut: s01 t0195 
